id,nombre_comercial,tipo,grado_N,grado_P2O5,grado_K2O,grado_S,clase,formulacion,estado_colombia,fuente
165,NPK 21-0-0 granulado,Compuesto,21,0,0,0,NPK(S) granulado - uso general,21-0-0,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
166,NPK 22-22-11 granulado,Compuesto,22,22,11,0,NPK(S) granulado - uso general,22-22-11,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
167,NPK 23-10-10 granulado,Compuesto,23,10,10,0,NPK(S) granulado - uso general,23-10-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
168,NPK 24-12-12 granulado,Compuesto,24,12,12,0,NPK(S) granulado - uso general,24-12-12,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
169,NPK 26-0-13 granulado,Compuesto,26,0,13,0,NPK(S) granulado - uso general,26-0-13,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
170,NPK 27-14-0 granulado,Compuesto,27,14,0,0,NPK(S) granulado - uso general,27-14-0,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
171,NPK 28-0-0 granulado,Compuesto,28,0,0,0,NPK(S) granulado - uso general,28-0-0,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
172,NPK 30-10-10 granulado,Compuesto,30,10,10,0,NPK(S) granulado - uso general,30-10-10,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
173,NPK 32-0-0 granulado,Compuesto,32,0,0,0,NPK(S) granulado - uso general,32-0-0,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
174,NPK 33-0-0 granulado,Compuesto,33,0,0,0,NPK(S) granulado - uso general,33-0-0,Comercialización común en Colombia,Formulación estándar de la industria; no verificada en el registro ICA
175,NPK Café 17-6-18-2MgO,Compuesto,17,6,18,0,NPK+Mg especializado (café),17-6-18,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
176,NPK Café 25-4-24,Compuesto,25,4,24,4,NPK+S especializado (café),25-4-24-4S,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
177,NPK Palma de aceite 12-12-17-2MgO,Compuesto,12,12,17,0,NPK+Mg especializado (palma),12-12-17,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
178,NPK Palma de aceite 15-4-23-4MgO,Compuesto,15,4,23,4,NPK+S+Mg especializado (palma),15-4-23-4S,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
179,NPK Palma de aceite 10-16-24-3MgO,Compuesto,10,16,24,3,NPK+S+Mg especializado (palma),10-16-24-3S,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
180,NPK Papa 13-26-6,Compuesto,13,26,6,0,NPK especializado (papa - siembra),13-26-6,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
181,NPK Papa 10-30-10,Compuesto,10,30,10,0,NPK especializado (papa - siembra),10-30-10,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
182,NPK Papa 18-18-18,Compuesto,18,18,18,0,NPK especializado (papa - desarrollo),18-18-18,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
183,NPK Caña de azúcar 9-13-27,Compuesto,9,13,27,0,NPK especializado (caña),9-13-27,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
184,NPK Caña de azúcar 14-4-25,Compuesto,14,4,25,0,NPK especializado (caña),14-4-25,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
185,NPK Arroz 15-15-15,Compuesto,15,15,15,0,NPK especializado (arroz),15-15-15,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
186,NPK Arroz 46-0-0 + 0-0-60 (blend),Compuesto,23,0,30,0,NPK blend especializado (arroz),23-0-30,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
187,NPK Maíz 10-30-10,Compuesto,10,30,10,0,NPK especializado (maíz - siembra),10-30-10,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
188,NPK Maíz 25-15-10,Compuesto,25,15,10,0,NPK especializado (maíz - desarrollo),25-15-10,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
189,NPK Banano 12-4-24-2MgO,Compuesto,12,4,24,0,NPK+Mg especializado (banano),12-4-24,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
190,NPK Banano 18-5-30-4S,Compuesto,18,5,30,4,NPK+S especializado (banano),18-5-30-4S,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
191,NPK Plátano 15-5-30,Compuesto,15,5,30,0,NPK especializado (plátano),15-5-30,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
192,NPK Aguacate Hass 16-6-22-3MgO,Compuesto,16,6,22,0,NPK+Mg especializado (aguacate),16-6-22,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
193,NPK Cítricos 12-6-24-4MgO,Compuesto,12,6,24,4,NPK+S+Mg especializado (cítricos),12-6-24-4S,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
194,NPK Pastos y forrajes 20-5-20,Compuesto,20,5,20,0,NPK especializado (praderas),20-5-20,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
195,NPK Pastos y forrajes 25-0-25,Compuesto,25,0,25,0,NPK especializado (praderas),25-0-25,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
196,NPK Flores de corte 15-5-30-2MgO,Compuesto,15,5,30,0,NPK+Mg especializado (floricultura),15-5-30,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
197,NPK Flores de corte 12-8-24-3S,Compuesto,12,8,24,3,NPK+S especializado (floricultura),12-8-24-3S,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
198,NPK Rosas fertirriego 18-9-18,Compuesto,18,9,18,0,NPK soluble especializado (floricultura),18-9-18,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
199,NPK Hortalizas 12-24-12,Compuesto,12,24,12,0,NPK especializado (hortalizas - siembra),12-24-12,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
200,NPK Hortalizas 15-9-20,Compuesto,15,9,20,0,NPK especializado (hortalizas - desarrollo),15-9-20,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
201,NPK Tomate fertirriego 20-10-20,Compuesto,20,10,20,0,NPK soluble especializado (tomate),20-10-20,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
202,NPK Cacao 15-15-20-2MgO,Compuesto,15,15,20,0,NPK+Mg especializado (cacao),15-15-20,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
203,NPK Cacao 12-11-18-2MgO,Compuesto,12,11,18,0,NPK+Mg especializado (cacao),12-11-18,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
204,NPK Frutales 10-10-18-2MgO,Compuesto,10,10,18,0,NPK+Mg especializado (frutales),10-10-18,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
205,NPK Fresa fertirriego 15-5-30,Compuesto,15,5,30,0,NPK soluble especializado (fresa),15-5-30,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
206,NPK Yuca 12-12-17-2MgO,Compuesto,12,12,17,0,NPK+Mg especializado (yuca),12-12-17,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
207,NPK Fríjol 10-30-10,Compuesto,10,30,10,0,NPK especializado (fríjol - siembra),10-30-10,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
208,NPK Algodón 15-15-15,Compuesto,15,15,15,0,NPK especializado (algodón),15-15-15,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
209,NPK Sorgo 20-20-0,Compuesto,20,20,0,0,NPK especializado (sorgo),20-20-0,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
210,NPK Tabaco 12-8-24-4MgO,Compuesto,12,8,24,4,NPK+S+Mg especializado (tabaco),12-8-24-4S,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
211,NPK Piña 12-6-24-3MgO,Compuesto,12,6,24,0,NPK+Mg especializado (piña),12-6-24,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
212,NPK Mango 14-8-22-3MgO,Compuesto,14,8,22,0,NPK+Mg especializado (mango),14-8-22,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
213,NPK Uva/vid 12-8-24,Compuesto,12,8,24,0,NPK especializado (vid),12-8-24,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
214,NPK Ornamentales de vivero 19-6-12,Compuesto,19,6,12,0,NPK especializado (ornamentales),19-6-12,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
215,NPK Praderas de leche 21-4-14,Compuesto,21,4,14,0,NPK especializado (ganadería de leche),21-4-14,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
216,NPK Praderas de ceba 18-4-18,Compuesto,18,4,18,0,NPK especializado (ganadería de ceba),18-4-18,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
217,NPK Soya 8-24-16,Compuesto,8,24,16,0,NPK especializado (soya),8-24-16,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
218,NPK Girasol 12-24-12,Compuesto,12,24,12,0,NPK especializado (girasol),12-24-12,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
219,NPK Trigo 15-25-10,Compuesto,15,25,10,0,NPK especializado (trigo),15-25-10,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
220,NPK Cebada 12-24-12,Compuesto,12,24,12,0,NPK especializado (cebada),12-24-12,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
221,NPK Papaya 14-6-24-3MgO,Compuesto,14,6,24,0,NPK+Mg especializado (papaya),14-6-24,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
222,NPK Granadilla/maracuyá 15-8-25-3MgO,Compuesto,15,8,25,0,NPK+Mg especializado (frutales de pasión),15-8-25,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
223,NPK Té/hierbas aromáticas 20-10-10,Compuesto,20,10,10,0,NPK especializado (aromáticas),20-10-10,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
224,NPK Vivero forestal 18-6-12,Compuesto,18,6,12,0,NPK especializado (vivero forestal),18-6-12,Comercialización común (formulación agroindustrial),Común en distribuidores agroquímicos de Colombia (insumo genérico)
225,NPK soluble 20-20-20 + micros,Compuesto,20,20,20,0,NPK soluble cristalino con micronutrientes,20-20-20,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
226,NPK soluble 15-30-15,Compuesto,15,30,15,0,NPK soluble cristalino (enraizamiento),15-30-15,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
227,NPK soluble 10-52-10,Compuesto,10,52,10,0,NPK soluble cristalino (arranque radicular),10-52-10,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
228,NPK soluble 13-40-13,Compuesto,13,40,13,0,NPK soluble cristalino (floración),13-40-13,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
229,NPK soluble 4-11-35-2MgO,Compuesto,4,11,35,0,NPK+Mg soluble cristalino (fructificación),4-11-35,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
230,NPK soluble 8-15-36,Compuesto,8,15,36,0,NPK soluble cristalino (llenado de fruto),8-15-36,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
231,NPK soluble 32-10-10,Compuesto,32,10,10,0,NPK soluble cristalino (crecimiento vegetativo),32-10-10,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
232,NPK soluble 18-18-18 + micros,Compuesto,18,18,18,0,NPK soluble cristalino con micronutrientes,18-18-18,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
233,NPK soluble 9-45-15,Compuesto,9,45,15,0,NPK soluble cristalino (prefloración),9-45-15,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
234,NPK soluble 6-30-30,Compuesto,6,30,30,0,NPK soluble cristalino (maduración),6-30-30,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
235,NPK soluble 0-52-34 (MKP),Compuesto,0,52,34,0,Fosfato-potásico soluble,0-52-34,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
236,NPK soluble 13-0-46 (nitrato de potasio),Compuesto,13,0,46,0,Nitrogenado-potásico soluble,13-0-46,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
237,NPK soluble 15.5-0-0+19Ca,Compuesto,15.5,0,0,0,Nitrogenado-cálcico soluble,15.5-0-0,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
238,NPK soluble 12-4-6-2MgO foliar,Compuesto,12,4,6,0,NPK+Mg foliar concentrado,12-4-6,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
239,NPK soluble 3-11-38+micros,Compuesto,3,11,38,0,NPK soluble cristalino (engorde de fruto),3-11-38,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
240,NPK soluble 21-27-5,Compuesto,21,27,5,0,NPK soluble cristalino (etapa vegetativa),21-27-5,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
241,NPK soluble 8-45-15,Compuesto,8,45,15,0,NPK soluble cristalino (inducción floral),8-45-15,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
242,NPK soluble 5-15-45,Compuesto,5,15,45,0,NPK soluble cristalino (maduración de fruto),5-15-45,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
243,NPK soluble 16-8-32,Compuesto,16,8,32,0,NPK soluble cristalino (llenado de grano),16-8-32,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
244,NPK soluble 12-12-36,Compuesto,12,12,36,0,NPK soluble cristalino (etapa reproductiva),12-12-36,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
245,NPK soluble 24-8-16,Compuesto,24,8,16,0,NPK soluble cristalino (arranque vegetativo),24-8-16,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
246,NPK soluble 6-12-36-4MgO,Compuesto,6,12,36,0,NPK+Mg soluble cristalino (cosecha),6-12-36,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
247,NPK soluble 19-6-6,Compuesto,19,6,6,0,NPK soluble cristalino (foliar arranque),19-6-6,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
248,NPK soluble 7-7-40,Compuesto,7,7,40,0,NPK soluble cristalino (calidad de fruto),7-7-40,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
249,NPK soluble 10-10-10 foliar con micros,Compuesto,10,10,10,0,NPK soluble foliar con micronutrientes,10-10-10,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
250,Bulk blend 10-20-20-3S,Compuesto,10,20,20,3,NPK+S mezcla física (bulk blend),10-20-20-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
251,Bulk blend 15-15-15-3S,Compuesto,15,15,15,3,NPK+S mezcla física (bulk blend),15-15-15-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
252,Bulk blend 12-24-12-2S,Compuesto,12,24,12,2,NPK+S mezcla física (bulk blend),12-24-12-2S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
253,Bulk blend 17-6-18-3S-2MgO,Compuesto,17,6,18,3,NPK+S mezcla física (bulk blend),17-6-18-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
254,Bulk blend 25-4-24-3S,Compuesto,25,4,24,3,NPK+S mezcla física (bulk blend),25-4-24-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
255,Bulk blend 10-30-10-2S,Compuesto,10,30,10,2,NPK+S mezcla física (bulk blend),10-30-10-2S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
256,Bulk blend 14-14-14-4S,Compuesto,14,14,14,4,NPK+S mezcla física (bulk blend),14-14-14-4S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
257,Bulk blend 9-23-30-3S,Compuesto,9,23,30,3,NPK+S mezcla física (bulk blend),9-23-30-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
258,Bulk blend 18-18-18-3S,Compuesto,18,18,18,3,NPK+S mezcla física (bulk blend),18-18-18-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
259,Bulk blend 20-10-10-3S,Compuesto,20,10,10,3,NPK+S mezcla física (bulk blend),20-10-10-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
260,Bulk blend 12-12-17-2S-2MgO,Compuesto,12,12,17,2,NPK+S mezcla física (bulk blend),12-12-17-2S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
261,Bulk blend 8-24-24-4S,Compuesto,8,24,24,4,NPK+S mezcla física (bulk blend),8-24-24-4S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
262,Bulk blend 16-16-16-3S,Compuesto,16,16,16,3,NPK+S mezcla física (bulk blend),16-16-16-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
263,Bulk blend 13-26-6-3S,Compuesto,13,26,6,3,NPK+S mezcla física (bulk blend),13-26-6-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
264,Bulk blend 10-10-20-3S,Compuesto,10,10,20,3,NPK+S mezcla física (bulk blend),10-10-20-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
265,Bulk blend 6-18-24-4S,Compuesto,6,18,24,4,NPK+S mezcla física (bulk blend),6-18-24-4S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
266,Bulk blend 9-23-30-4S,Compuesto,9,23,30,4,NPK+S mezcla física (bulk blend),9-23-30-4S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
267,Bulk blend 12-24-12-3S,Compuesto,12,24,12,3,NPK+S mezcla física (bulk blend),12-24-12-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
268,Bulk blend 14-4-25-3S,Compuesto,14,4,25,3,NPK+S mezcla física (bulk blend),14-4-25-3S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
269,Bulk blend 15-4-23-4S-2MgO,Compuesto,15,4,23,4,NPK+S mezcla física (bulk blend),15-4-23-4S,Comercialización regional (planta de mezcla local),Plantas de bulk-blending regionales - genérico
270,NPK líquido 4-1-8,Compuesto,4,1,8,0,NPK líquido concentrado (foliar/fertirriego),4-1-8,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
271,NPK líquido 10-5-5,Compuesto,10,5,5,0,NPK líquido concentrado (arranque),10-5-5,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
272,NPK líquido 3-10-10,Compuesto,3,10,10,0,NPK líquido concentrado (floración),3-10-10,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
273,NPK líquido 6-6-6,Compuesto,6,6,6,0,NPK líquido balanceado,6-6-6,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
274,NPK líquido 15-5-10,Compuesto,15,5,10,0,NPK líquido concentrado (vegetativo),15-5-10,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
275,NPK líquido 5-15-8,Compuesto,5,15,8,0,NPK líquido concentrado (enraizamiento),5-15-8,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
276,NPK líquido 2-4-10,Compuesto,2,4,10,0,NPK líquido concentrado (llenado de fruto),2-4-10,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
277,NPK líquido 8-8-8+micros,Compuesto,8,8,8,0,NPK líquido balanceado con micronutrientes,8-8-8,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
278,NPK líquido 20-20-20 hidrosoluble,Compuesto,20,20,20,0,NPK líquido concentrado hidrosoluble,20-20-20,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
279,NPK líquido 0-10-10,Compuesto,0,10,10,0,PK líquido concentrado (poscosecha),0-10-10,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
280,NPK líquido 12-0-6,Compuesto,12,0,6,0,NK líquido concentrado (arranque foliar),12-0-6,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
281,NPK líquido 4-8-6-2MgO,Compuesto,4,8,6,0,NPK+Mg líquido concentrado,4-8-6,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
282,Nitrógeno líquido estabilizado 20-0-0,Compuesto,20,0,0,0,Nitrogenado líquido estabilizado,20-0-0,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
283,NPK líquido starter 6-24-6,Compuesto,6,24,6,0,NPK líquido concentrado (starter siembra),6-24-6,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
284,NPK líquido 9-3-6,Compuesto,9,3,6,0,NPK líquido concentrado (mantenimiento),9-3-6,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
285,NPK líquido 3-18-18,Compuesto,3,18,18,0,NPK líquido concentrado (prefloración),3-18-18,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
286,NPK líquido 5-1-9,Compuesto,5,1,9,0,NK líquido concentrado (llenado de grano),5-1-9,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
287,NPK líquido 7-21-7,Compuesto,7,21,7,0,NPK líquido concentrado (inducción floral),7-21-7,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
288,NPK líquido 1-3-6,Compuesto,1,3,6,0,PK líquido concentrado (calidad de fruto),1-3-6,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
289,NPK líquido 14-7-7,Compuesto,14,7,7,0,NPK líquido concentrado (vegetativo intensivo),14-7-7,Comercialización común (fertirriego/foliar),Grado técnico/soluble - estándar industria fertirriego
290,NPK recubierto liberación controlada 18-6-12 (3-4 meses),Compuesto,18,6,12,0,NPK(S) liberación controlada / recubierto,18-6-12,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
291,NPK recubierto liberación controlada 16-9-12 (5-6 meses),Compuesto,16,9,12,0,NPK(S) liberación controlada / recubierto,16-9-12,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
292,NPK recubierto liberación controlada 14-14-14 (3-4 meses),Compuesto,14,14,14,0,NPK(S) liberación controlada / recubierto,14-14-14,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
293,NPK recubierto liberación controlada 20-7-10 (8-9 meses),Compuesto,20,7,10,0,NPK(S) liberación controlada / recubierto,20-7-10,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
294,NPK recubierto liberación controlada 12-12-17-2MgO (5-6 meses),Compuesto,12,12,17,0,NPK(S) liberación controlada / recubierto,12-12-17,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
295,NPK recubierto liberación controlada 15-9-12+micros (4 meses),Compuesto,15,9,12,0,NPK(S) liberación controlada / recubierto,15-9-12,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
296,NPK recubierto liberación controlada 19-6-10 (6 meses),Compuesto,19,6,10,0,NPK(S) liberación controlada / recubierto,19-6-10,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
297,NPK recubierto liberación controlada 22-4-11 (3 meses),Compuesto,22,4,11,0,NPK(S) liberación controlada / recubierto,22-4-11,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
298,NPK recubierto liberación controlada 8-9-12 (12 meses),Compuesto,8,9,12,0,NPK(S) liberación controlada / recubierto,8-9-12,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
299,Urea recubierta con polímero (liberación controlada),Simple,43,0,0,0,NPK(S) liberación controlada / recubierto,43-0-0,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
300,NPK recubierto con azufre (SCF) 20-6-12-8S,Compuesto,20,6,12,8,NPK(S) liberación controlada / recubierto,20-6-12-8S,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
301,NPK recubierto con azufre (SCF) 16-8-16-6S,Compuesto,16,8,16,6,NPK(S) liberación controlada / recubierto,16-8-16-6S,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
302,NPK recubierto con azufre (SCF) 14-14-14-5S,Compuesto,14,14,14,5,NPK(S) liberación controlada / recubierto,14-14-14-5S,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
303,NPK con inhibidor de ureasa 40-0-0,Simple,40,0,0,0,NPK(S) liberación controlada / recubierto,40-0-0,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
304,NPK con inhibidor de nitrificación 25-5-10,Compuesto,25,5,10,0,NPK(S) liberación controlada / recubierto,25-5-10,"Uso especializado (viveros, ornamentales, cultivos de alto valor)",Común en distribuidores agroquímicos de Colombia (insumo genérico)
305,Organomineral NPK 8-4-4,Compuesto,8,4,4,0,NPK organomineral,8-4-4,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
306,Organomineral NPK 5-3-3,Compuesto,5,3,3,0,NPK organomineral,5-3-3,Comercialización común (agricultura sostenible),Común en distribuidores agroquímicos de Colombia (insumo genérico)
